n, "a = 0.05", "a = 0.01"
4, 0.950, 0.990
5, 0.878, 0.959
6, 0.811, 0.917
7, 0.754
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
35
40
45
50
55
60
65
70
75
80
85
90
95
100
